title,author,year_approx,period_hint,notes
Beowulf (lines 1-100),Anonymous,1000,Anglo-Saxon,Epic opening
Beowulf (Grendel's attack),Anonymous,1000,Anglo-Saxon,Lines 710-836
Beowulf (Beowulf vs. Grendel),Anonymous,1000,Anglo-Saxon,Lines 837-924
Beowulf (Beowulf's funeral),Anonymous,1000,Anglo-Saxon,Lines 3137-3182
The Wanderer,Anonymous,975,Anglo-Saxon,
The Seafarer,Anonymous,990,Anglo-Saxon,
The Wife's Lament,Anonymous,950,Anglo-Saxon,
The Husband's Message,Anonymous,950,Anglo-Saxon,
The Ruin,Anonymous,950,Anglo-Saxon,
Deor,Anonymous,950,Anglo-Saxon,
Wulf and Eadwacer,Anonymous,950,Anglo-Saxon,
The Dream of the Rood,Anonymous,950,Anglo-Saxon,
Caedmon's Hymn,Caedmon,680,Anglo-Saxon,Earliest English poem
The Battle of Maldon,Anonymous,991,Anglo-Saxon,
The Phoenix,Anonymous,975,Anglo-Saxon,
The General Prologue,Geoffrey Chaucer,1387,Middle English,Canterbury Tales
The Knight's Tale,Geoffrey Chaucer,1387,Middle English,Canterbury Tales
The Miller's Tale,Geoffrey Chaucer,1387,Middle English,Canterbury Tales
The Wife of Bath's Prologue,Geoffrey Chaucer,1387,Middle English,Canterbury Tales
The Wife of Bath's Tale,Geoffrey Chaucer,1387,Middle English,Canterbury Tales
The Pardoner's Tale,Geoffrey Chaucer,1387,Middle English,Canterbury Tales
The Nun's Priest's Tale,Geoffrey Chaucer,1387,Middle English,Canterbury Tales
Troilus and Criseyde (Book I),Geoffrey Chaucer,1385,Middle English,
Troilus and Criseyde (Book V),Geoffrey Chaucer,1385,Middle English,
The Parliament of Fowls,Geoffrey Chaucer,1382,Middle English,
The Book of the Duchess,Geoffrey Chaucer,1369,Middle English,
Sir Gawain and the Green Knight (Fitt I),Pearl Poet,1375,Middle English,
Sir Gawain and the Green Knight (Fitt II),Pearl Poet,1375,Middle English,
Sir Gawain and the Green Knight (Fitt IV),Pearl Poet,1375,Middle English,
Pearl,Pearl Poet,1375,Middle English,
Piers Plowman (Prologue),William Langland,1370,Middle English,
Piers Plowman (Passus I),William Langland,1370,Middle English,
Piers Plowman (Passus XVIII),William Langland,1370,Middle English,
The Second Shepherds' Play,Wakefield Master,1475,Middle English,
Everyman,Anonymous,1495,Middle English,Morality play
Sumer Is Icumen In,Anonymous,1260,Middle English,
Alison,Anonymous,1300,Middle English,Harley Lyrics
The Cuckoo Song,Anonymous,1250,Middle English,
I Sing of a Maiden,Anonymous,1400,Middle English,
Adam Lay Ybounden,Anonymous,1400,Middle English,
They Flee from Me,Thomas Wyatt,1557,Tudor,
"My Lute, Awake!",Thomas Wyatt,1557,Tudor,
Blame Not My Lute,Thomas Wyatt,1557,Tudor,
Forget Not Yet,Thomas Wyatt,1557,Tudor,
Stand Whoso List,Thomas Wyatt,1557,Tudor,
The Long Love,Thomas Wyatt,1557,Tudor,
Description of Spring,"Henry Howard, Earl of Surrey",1547,Tudor,
"Alas, So All Things Now Do Hold Their Peace","Henry Howard, Earl of Surrey",1547,Tudor,
The Soote Season,"Henry Howard, Earl of Surrey",1547,Tudor,
Love That Doth Reign,"Henry Howard, Earl of Surrey",1547,Tudor,
"Give Place, Ye Lovers","Henry Howard, Earl of Surrey",1547,Tudor,
Astrophil and Stella 1,Philip Sidney,1591,Elizabethan,
Astrophil and Stella 31,Philip Sidney,1591,Elizabethan,
Astrophil and Stella 71,Philip Sidney,1591,Elizabethan,
"Leave Me, O Love",Philip Sidney,1598,Elizabethan,
"The Faerie Queene (Book I, Canto I)",Edmund Spenser,1590,Elizabethan,
"The Faerie Queene (Book III, Canto VI)",Edmund Spenser,1590,Elizabethan,
Amoretti 1,Edmund Spenser,1595,Elizabethan,
Amoretti 54,Edmund Spenser,1595,Elizabethan,
Amoretti 75: One Day I Wrote Her Name,Edmund Spenser,1595,Elizabethan,
Prothalamion,Edmund Spenser,1596,Elizabethan,
The Nymph's Reply to the Shepherd,Walter Raleigh,1600,Elizabethan,
The Lie,Walter Raleigh,1608,Elizabethan,
As You Came from the Holy Land,Walter Raleigh,1600,Elizabethan,
What Is Our Life?,Walter Raleigh,1612,Elizabethan,
Hero and Leander,Christopher Marlowe,1598,Elizabethan,
Come Live with Me,Christopher Marlowe,1599,Elizabethan,
Sonnet 1: From fairest creatures,William Shakespeare,1609,Elizabethan,
Sonnet 12: When I do count the clock,William Shakespeare,1609,Elizabethan,
Sonnet 20: A woman's face,William Shakespeare,1609,Elizabethan,
Sonnet 29: When in disgrace,William Shakespeare,1609,Elizabethan,
