poem_id,title,author,register,rhetorical_genre,discursive_structure,discourse_type,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition
1,The Things That Cause a Quiet Life,Henry Howard Earl of Surrey,Meditative,Epideictic,Monologic,Description,Mimetic,Zero,3rd,Impersonal,Unaddressed,The things/quiet life,Atemporal,Static,Translation (Martial)
2,Whoso List to Hunt,Thomas Wyatt,Warning/Renunciative,Deliberative,Monologic,Direct discourse,Mimetic,Internal,1st,Second person,Direct address,The hind/Caesar,Past/Present,Recursive,Imitation (Petrarch)
3,Astrophil and Stella 39: Come Sleep! O Sleep,Philip Sidney,Pleading,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Sleep,Present,Static,Original
4,Epithalamion,Edmund Spenser,Celebratory,Epideictic,Monologic,Mixed,Mixed,Internal,1st,Mixed,Mixed,Bride/wedding,Present/Future,Linear,Original
5,The Passionate Shepherd to his Love,Christopher Marlowe,Persuasive,Deliberative,Monologic,Direct discourse,Mimetic,Internal,1st,Second person,Triangulated address,The beloved,Future,Static,Original
6,Shall I Compare Thee to a Summer's Day,William Shakespeare,Argumentative,Epideictic,Monologic,Commentary,Mimetic,Internal,1st,Second person,Triangulated address,Beloved/summer,Present/Future,Recursive,Original
7,The Description of Cooke-ham,Aemilia Lanyer,Elegiac,Epideictic,Monologic,Description/Commentary,Mixed,Internal,1st,Mixed,Mixed,The estate,Past/Present,Linear,Original
8,The Good Morrow,John Donne,Argumentative,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,Second person,Triangulated address,The lovers,Present,Recursive,Original
9,Lycidas,John Milton,Elegiac,Epideictic,Monologic,Mixed,Mixed,Internal/External,1st/3rd,Mixed,Mixed,Lycidas/poetry,Past/Present,Recursive,Original
10,On Mr. G. Herbert's Book,Richard Crashaw,Devotional,Epideictic,Monologic,Commentary,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Herbert's book,Present,Static,Original
11,An Apology for Her Poetry,Margaret Cavendish,Defensive,Forensic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Direct address,Poetry/critics,Present,Linear,Original
12,To His Coy Mistress,Andrew Marvell,Argumentative,Deliberative,Monologic,Direct discourse,Mimetic,Internal,1st,Second person,Triangulated address,The mistress,Present/Future,Linear,Original
13,Mac Flecknoe,John Dryden,Satiric,Epideictic,Monologic,Narrative report,Diegetic,External,3rd,Third person,Direct address,Shadwell,Past,Linear,Original
14,Eloisa to Abelard,Alexander Pope,Passionate,Mixed,Monologic,Direct discourse,Mimetic,Internal,1st,Second person,Triangulated address,Abelard,Past/Present,Recursive,Imitation (Ovid)
15,Elegy Written in a Country Churchyard,Thomas Gray,Meditative,Epideictic,Monologic,Commentary/Description,Mixed,Internal/External,1st/3rd,Shifting,Self-address,The dead,Past/Present,Recursive,Original
16,On Imagination,Phillis Wheatley,Celebratory,Epideictic,Monologic,Commentary,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Imagination,Present,Static,Original
17,Lines Composed a Few Miles above Tintern Abbey,William Wordsworth,Meditative,Mixed,Monologic,Commentary,Mixed,Internal,1st,Mixed,Mixed,Nature/sister,Past/Present,Recursive,Original
18,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,Gothic/didactic,Mixed,Monologic,Narrative report,Diegetic,External/Internal,3rd/1st,Mixed,Direct address,Wedding guest,Past,Linear,Original
19,The Sick Rose,William Blake,Symbolic,Epideictic,Monologic,Direct discourse,Mimetic,Internal,2nd,Apostrophic,Apostrophic address,Rose/worm,Present,Static,Original
20,She Walks in Beauty,Lord Byron,Admiring,Epideictic,Monologic,Description,Mimetic,External,3rd,Third person,Unaddressed,The woman,Present,Static,Original
21,Ozymandias,Percy Bysshe Shelley,Ironic,Epideictic,Monologic,Narrative report,Mixed,Internal,1st,First person,Direct address,Statue,Past,Linear,Original
22,Ode on a Grecian Urn,John Keats,Meditative,Epideictic,Monologic,Commentary,Mimetic,Internal,1st/2nd,Apostrophic,Apostrophic address,The urn,Atemporal,Recursive,Original
23,Ulysses,Alfred Tennyson,Restless,Deliberative,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Triangulated address,Self/mariners,Present/Future,Linear,Original
24,My Last Duchess,Robert Browning,Controlling,Forensic,Monologic,Direct discourse,Mimetic,Internal,1st,Second person,Triangulated address,Portrait/Duchess,Past/Present,Linear,Original
25,Goblin Market,Christina Rossetti,Cautionary,Mixed,Monologic,Narrative report,Diegetic,External,3rd,Third person,Direct address,Laura/Lizzie,Past,Linear,Original
26,The Cry of the Children,Elizabeth Barrett Browning,Indignant/Pleading,Deliberative,Polyvocal,Mixed,Mixed,Multiple,1st/2nd/3rd,Second person,Direct address,Society/children,Present,Static,Original
27,When Lilacs Last in the Dooryard Bloom'd,Walt Whitman,Elegiac,Epideictic,Monologic,Mixed,Mixed,Internal,1st,Mixed,Mixed,Lincoln/lilacs,Past/Present,Recursive,Original
28,I'm Nobody! Who are you?,Emily Dickinson,Playful,Deliberative,Monologic,Direct discourse,Mimetic,Internal,1st/2nd,Second person,Direct address,Reader/Nobody,Present,Static,Original
29,"Loveliest of trees, the cherry now",A.E. Housman,Carpe diem,Deliberative,Monologic,Commentary,Mimetic,Internal,1st,First person,Self-address,Cherry trees,Present,Static,Original
30,In a Station of the Metro,Ezra Pound,Observational,Epideictic,Monologic,Description,Mimetic,Zero,3rd,Impersonal,Unaddressed,Faces/petals,Present,Static,Original
31,Oread,H.D.,Imperative,Deliberative,Monologic,Direct discourse,Mimetic,Internal,2nd,Apostrophic,Apostrophic address,Sea/pines,Present,Static,Original
32,"Easter, 1916",William Butler Yeats,Ambivalent,Mixed,Monologic,Commentary,Mixed,Internal,1st,Mixed,Direct address,The rebels,Past/Present,Recursive,Original
33,Gerontion,T.S. Eliot,Bitter,Mixed,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Triangulated address,History,Present,Fragmentary,Original
34,The Negro Speaks of Rivers,Langston Hughes,Meditative,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Apostrophe,Rivers,Past and present,Recursive,Original
35,Yet Do I Marvel,Countee Cullen,Philosophical,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Implied audience,Divine paradox,Present,Linear,Original
36,Reapers,Jean Toomer,Observational,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Implied audience,Reapers,Present,Linear,Original
37,Funeral Blues,W. H. Auden,Elegiac,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,General address,The deceased,Present,Linear,Original
38,Black Earth,Marianne Moore,Philosophical,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Implied audience,Self (elephant),Present,Meditative,Original
39,Howl,Allen Ginsberg,Prophetic,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Direct address,Beat generation,Past and present,Anaphoric catalog,Original
40,The Horses,Ted Hughes,Meditative,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Implied audience,Horses,Past and present,Linear,Original
41,Preface to a Twenty Volume Suicide Note,Amiri Baraka,Confessional,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Implied audience,Daughter praying,Recent past,Linear,Original
42,Daddy,Sylvia Plath,Confessional,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Direct address,Father,Past and present,Recursive,Original
43,The Ghost,Robert Lowell,Dramatic,Epideictic,Dialogic,Mixed,Mixed,Mixed,1st,First person,Direct address,Ghost/Sextus,Past,Linear,Adaptation
44,Time and Time Again,A. K. Ramanujan,Meditative,Epideictic,Monologic,Direct discourse,Mimetic,Internal,2nd,Second person,General address,Clocktowers,Present,Linear,Original
45,The Ballad of the Lonely Masturbator,Anne Sexton,Confessional,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Direct address,Former lover,Present,Recursive,Original
46,Riot,Gwendolyn Brooks,Satirical,Deliberative,Monologic,Narrative report,Diegetic,External,3rd,Third person,Implied audience,John Cabot,Past,Linear,Original
47,Crusoe in England,Elizabeth Bishop,Meditative,Epideictic,Monologic,Direct discourse,Mixed,Internal,1st,First person,Implied audience,The island,Past and present,Recursive,Adaptation
48,Hinge Picture,Susan Howe,Experimental,Epideictic,Monologic,Direct discourse,Mimetic,Internal,Mixed,First person,Direct address,Oarsman,Timeless,Fragmented,Original
49,Coal,Audre Lorde,Meditative,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Implied audience,Language/words,Present,Meditative,Original
50,Phenomenal Woman,Maya Angelou,Celebratory,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Direct address,Audience,Present,Recursive,Original
51,A Black River,Mary Oliver,Observational,Epideictic,Monologic,Direct discourse,Diegetic,External,3rd,Third person,Implied audience,Alligator,Present,Linear,Original
52,Heart to Heart,Rita Dove,Meditative,Epideictic,Monologic,Direct discourse,Mimetic,Internal,1st,First person,Direct address,Heart,Present,Meditative,Original
